category,comparison_prediction,has_ocr,id,image_label,input_mode,label,mm_label,model,prediction,seed,source,split,text_label
false_positive,,True,5803,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
false_positive,,True,5990,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,1024,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,1075,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,4170,0,caption,0,0,dt4mid-phobert,1,123,threads,test,0
correct_prediction,,True,599,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,371,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,False,5811,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
false_positive,,True,5986,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,6456,1,caption,1,1,dt4mid-phobert,1,123,facebook,test,1
correct_prediction,,True,6826,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
false_positive,,False,859,0,caption,0,0,dt4mid-phobert,1,123,threads,test,0
correct_prediction,,False,6562,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,2399,1,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,False,6505,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
error_001,,True,7292,0,caption,1,1,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,True,6818,1,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,False,4909,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,4190,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,6100,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,5033,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,5608,0,caption,1,1,dt4mid-phobert,1,123,threads,test,0
correct_prediction,,False,4177,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,3845,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
error_001,,False,2129,0,caption,1,1,dt4mid-phobert,0,123,facebook,test,0
